Acetatifactor,Akkermansia,Alistipes,Alloprevotella,Anaeroplasma,Asaccharobacter,Bacteriaunclassified,Bacteroidalesunclassified,Bacteroides,Bacteroidetesunclassified,Barnesiella,Betaproteobacteriaunclassified,Bifidobacterium,Blautia,Burkholderialesunclassified,Butyricicoccus,CandidatusSaccharibacteriaunclassified,Clostridialesunclassified,Clostridiaunclassified,ClostridiumIV,Clostridiumsensustricto,ClostridiumXlVa,ClostridiumXlVb,ClostridiumXVIII,Coriobacteriaceaeunclassified,Desulfovibrionaceaeunclassified,Dorea,Eisenbergiella,Enterobacteriaceaeunclassified,Enterorhabdus,Erysipelotrichaceaeunclassified,Firmicutesunclassified,Helicobacter,Jeotgalicoccus,Lachnospiraceaeunclassified,Lactobacillus,Mucispirillum,Odoribacter,Olsenella,Oscillibacter,Parabacteroides,Paraprevotella,Parasutterella,Porphyromonadaceaeunclassified,Prevotella,Proteobacteriaunclassified,Pseudoflavonifractor,Romboutsia,Ruminococcaceaeunclassified,Ruminococcus,Staphylococcus,Streptococcus,Turicibacter
0.007678371,0,0,8.627383e-5,1.725477e-4,0,3.8823225999999996e-4,0.05336037,1.2941074999999998e-4,0,4.313692e-5,0,7.764645e-4,0.001164697,0,1.725477e-4,0,0.051721158419999996,6.901907e-4,0.0019842982,0,0.001380381,1.2941074999999998e-4,0.02269002,2.156846e-4,0,4.313692e-4,0.005866621,0,9.058752e-4,2.5882152e-4,2.156846e-4,8.627384e-5,8.627383e-5,0.12194805947000001,0.07941505992999999,0,0,0,0.00961953183,4.313692e-5,0,0,0.33482875966000003,0.23211971075,0,6.901907e-4,0,0.05767406122,0,0,8.196014e-4,0.01220775
0.009458014,0,0,4.11218e-5,9.458015e-4,0,9.869233000000001e-4,0.05041533,0,0,0,0,3.289744e-4,0.002549552,4.11218e-5,7.401925e-4,0,0.02051977792,2.467308e-4,9.869231999999999e-4,0,6.16827e-4,7.401924e-4,0.009704745,2.4673081000000003e-4,0,2.05609e-4,0.005962661,4.11218e-5,0.00115141,3.700962e-4,0,0,0,0.08726046294999999,0.1626778332,0,0,0,0.007031828800000001,0,0,0,0.3992927082099999,0.18940698720000002,0,0.0013158976,4.11218e-5,0.022082407799999995,1.644872e-4,4.11218e-5,6.16827e-4,0.0237684
0.0043761221,0,0,1.122083e-4,1.122083e-4,0,8.976661e-4,0.0479129264,2.244166e-4,0,0,0,0.0025807899,0.0017953321,0,2.244165e-4,0,0.0020197487,7.854578e-4,0.0017953321,0,0,1.122083e-4,0.0109964093,1.122083e-4,0,7.854578e-4,0.0067324955,0.0044883303,4.48833e-4,0,0,0,0,0.11434021580000005,0.14575852790000002,0,0,0,0.0061714542,0,0,0,0.3258527827,0.2277827648,0,3.366248e-4,0,0.0381508079,0.0035906643,0,8.976661e-4,0.0506059246
0.00398078259,0,0,0,4.461222e-4,3.431709e-5,0.00192175709,0.06403569,1.7158549e-4,0,6.863418e-5,0,0.02652711,0.002093342,3.431709e-5,1.372684e-4,6.863418e-5,0.02886067027,2.402196e-4,0.0011324639,3.431709e-5,0.001544269,1.715854e-4,0.02910089,2.059025e-4,0,1.029513e-4,0.004941661,0.01173644,0.002676733,9.6087848e-4,4.804393e-4,3.431709e-5,0,0.048215507250000005,0.19931366918,0,0,0,0.00322580639,0,0,0,0.27271795238,0.14293063418,0,0.0010295127,3.431709e-5,0.016952643250000003,0.001612903,6.863418e-5,7.892931e-4,0.1313658
0.00935663535,0.03910197,0.07681204,0,0,5.155171e-4,0.011869780399999998,0,0.23154451711,0,0.01340344,0,0,0.0037632747000000003,0,0,0,0.0164578775,0.008531807,0.0017914218,1.288793e-5,0,0.005941334,0,1.6754301e-4,0,6.443963e-4,0,0,1.288793e-5,0,0.001662542,0,3.866378e-5,0.12484533520000003,0.0594133426,0,0,0,0.01913857195,0,0.038083818,0.008686463,0.228374054,0,0,0.001585215,0,0.09133673166000002,0,7.732756e-4,0.001224353,0.0049103
0.0025081858,0.2287255,0.04459163,0,1.501907e-5,2.403052e-4,6.007629e-5,0,0.2263223907,0,0.1005827,0,0,0.0021327084,0,1.501907e-5,0,8.2604907e-4,0,0.0012015259,1.501907e-5,0,0,0,3.0038145e-4,0,0.003349254,0.001802289,0,0,4.205341e-4,7.509537e-5,0,0,0.06362079396999999,0.0431347835,0,0,0,0.00446066489,0,1.501907e-5,0,0.23297588417,0,0,0.002853624,0,0.02641855219,0,0.00388994,0.003469406,0.005977592
0.0033444811299999993,0.16841419999999999,0.05560577,0,0,7.080659e-4,0.0122028342,0,0.28759533139,0,0.08557052,0,1.506523e-5,0.0021543281,0,0,0,0.0011600229299999999,4.51957e-5,4.0676129e-4,0,0,4.9715266e-4,0,4.971527e-4,0,6.026092e-5,0,0,0,8.888487e-4,4.3689170000000004e-4,0,0,0.03689475498,0.05402392316,0,0,1.506523e-5,0.00390189553,0,0.07083672299999999,0.003314351,0.17660972116,0,0,0.0034499380000000005,0,0.021151585599999998,0,7.080659e-4,0.00126548,0.008225617
0.007736208180000001,0,0,0,0.004988375,6.341154e-4,0.019192561,0,2.113718e-4,0,0.06670894,0,0,0.0058761361,0,0,0,0.0024519125000000003,1.690974e-4,4.2274361999999996e-4,0,0,7.186641e-4,0,0,0,4.227436e-5,1.690974e-4,0,0,0,0.0074825622,0,0.009173536,0.021264002300000005,0.2217289821,0,0,0,0.0018177974999999999,0,0.082900019,0.004311985,0.5224265229,0,0,2.959205e-4,1.690974e-4,0.007736208480000001,0,7.186641e-4,0.009427182,0.001225956
0.0030814716000000003,0,4.164151e-5,0,0.002207,4.996981e-4,0.0033729616600000002,0,0.02381894075,0,0.1129734,0,2.082075e-5,0.001228424,0,5.413396e-4,0,0.03520789411,0.001270066,0.0017281225,0,1.873868e-4,8.952924e-4,0,4.7887735e-4,0,5.205189e-4,0.001519915,0,0,6.246226e-5,0.003955943,0,0.01030627,0.11166171086000005,0.2636740657,0,0,2.082075e-5,0.00420579197,0,0,0,0.39259613,0,0,6.246226e-4,4.164151e-5,0.01709383972,0,8.328302e-4,0.002977368,0.002352745
0.00648202703,0,4.910627e-5,0,0.00329012,5.156158e-4,0.00574543333,2.455313e-5,0.00022097822999999999,0,0.131261,0,4.910627e-5,0.001964251,0,3.437439e-4,0,0.0433362802,0.003339226,0.0027990573,0,9.821253e-5,0.0011539972,0,1.9642506999999998e-4,0,5.892752e-4,0.004787861,0,0,2.700845e-4,0.0090355528,0,0.003830289,0.10737085051999994,0.1119868134,0,0,0,0.0068012173,0,0,2.700845e-4,0.5159104162600001,0,0,1.473188e-4,0,0.03358868669,0,4.665095e-4,0.003560204,5.156158e-4
