group,Actinobacteria,Bacilli,Bacteriaunclassified,Bacteroidetesunclassified,Bacteroidia,Betaproteobacteria,CandidatusSaccharibacteriaunclassified,Clostridia,Deferribacteres,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichia,Firmicutesunclassified,Gammaproteobacteria,Mollicutes,Proteobacteriaunclassified,Verrucomicrobiae
CtrlPN,0.18980243,8.032093515999998,0.038823225999999995,0,62.06107988300003,0,0,26.115088818999993,0,0,0.008627384,3.5156591520000005,0.021568459999999998,0,0.01725477,0,0
CtrlPN,0.17271152100000003,16.333578199999998,0.09869233000000001,0,63.91561472099999,0.00411218,0,15.992268596999992,0,0,0,3.38432412,0,0.00411218,0.09458015,0,0
CtrlPN,0.31418312,14.665619400000002,0.08976661,0,60.188509880000005,0,0,18.12163378999999,0,0,0,6.16023339,0,0.44883303,0.01122083,0,0
CtrlPN,2.944406259,20.017159646000003,0.192175709,0,47.992449623000006,0.0034317090000000002,0.0068634180000000005,11.431022022999995,0,0,0.0034317090000000002,16.142756848,0.04804393,1.1736440000000001,0.04461222,0,0
CtrlPN,0.069594804,6.144963498,1.1869780399999998,0,58.821786911000004,0.8686463,0,28.34054883900003,0,0,0,0.49103,0.1662542,0,0,0,3.910197
CtrlPN,0.054068664999999995,5.049412950000001,0.006007629,0,60.448762394,0,0,10.920368535999996,0,0,0,0.63981261,0.007509537,0,0.001501907,0,22.87255
CtrlPN,0.123534906,5.599746906,1.2202834200000001,0,67.621806555,0.3314351,0,7.306637684,0,0,0,0.91144657,0.043689170000000006,0,0,0,16.84142
CtrlPN,0.06341154,24.10483642,1.9192561000000001,0,67.22468536999999,0.4311985,0,4.886915983999995,0,0,0,0.1225956,0.74825622,0,0.4988375,0,0
CtrlPN,0.102021695,27.77905339,0.337296166,0,52.943011226,0,0,17.980803757000015,0,0,0,0.24152072599999996,0.3955943,0,0.2207,0,0
CtrlPN,0.07611471400000001,11.98438159,0.5745433329999999,0,64.74660538900001,0.027008449999999996,0,21.280200466999986,0,0,0,0.07857003,0.9035552800000001,0,0.329012,0,0
MetPN,0.202267076,25.671067165,1.2220305599999999,0,57.59555006000001,0.85120727,0.008427795,12.902953768999998,0,0.02949728,1.1841048969999999,0.31604231000000005,0,0.01264169,0.004213897,0,0
MetPN,0.141467729,17.959324672999998,0.35366932,0,69.97347617499996,1.3934567599999998,0.021220160000000002,7.628646774000006,0,0.04597701,1.3828470000000002,0.9938107899999998,0.0035366929999999996,0.1025641,0,0,0
MetPN,0.18563550400000003,14.944963490000001,0.5098439499999999,0,68.11775627599998,0.3372814,0,14.521400410000002,0,0.33989590000000003,0.7242398,0.2719168,0.002614584,0.03660418,0.007843752,0,0
MetPN,0.129161446,14.843875784999996,0.49404243000000003,0,73.344311923,0.64580705,0.02260325,9.218896265,0,0.06458071,0.8234041000000001,0.41008749,0,0,0.0032290350000000003,0,0
MetPN,0.17134293,14.803314837,0.078532165,0.1856215,71.67130808799999,0.6175484,0.1392161,9.398872034000005,0.0571143,0.1249375,1.256515,0.021417857000000002,0.007139287,0.0035696440000000003,0,1.03162701,0.43192689999999995
MetPN,1.7916872099999999,26.16402223,0.073051633,0,62.84747435500001,0.5305856,0.007689646,6.3478022620000045,0.042293050000000006,0.007689646,1.0496367,0.45753389999999994,0.003844823,0,0,0.36525815,0.3114307
MetPN,1.2706969299999997,12.490373938000001,0.08182518200000001,0.4716981,71.82807010800005,1.063727,0.01443974,9.886407348000006,0.1058914,0.004813246,1.578745,0.41393914000000004,0,0,0,0.44763186,0.3417405
MetPN,0.071865924,7.752895861000001,0.5691781789999999,0.4398195,67.50510341600003,0.43119557399999997,0.02587173,18.078591840999987,0.4110731,0.5634289,1.17572682,0.17535282,0.005749274,0,0,2.7654005,0.028746369999999997
